ticket_id,model_id,version,risk_tier,approver,emergency,opened_at,approved_at,description,record_status,evidence_basis
WB-020,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-10,,Downgrade partial proposals with no surviving verbatim excerpt to none.,historical_reconstructed,repository evidence; approval metadata not present
WB-021,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-10,,Prevent scanner self-ingestion and ensure failed assessor calls are not recorded as ratings.,historical_reconstructed,repository evidence; approval metadata not present
WB-022,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-10,,Pass declared control artefacts to the assessor and gate partial ratings on them.,historical_reconstructed,repository evidence; approval metadata not present
WB-023,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-10,,Wire the relative retrieval threshold into the assessment path.,historical_reconstructed,repository evidence; approval metadata not present
WB-024,readiness-assessor,v0.3.0,medium,NOT_RECORDED,FALSE,2026-09-10,,Add the sticky application header/navigation treatment.,historical_reconstructed,repository evidence; approval metadata not present
WB-025,readiness-assessor,v0.3.0,medium,NOT_RECORDED,FALSE,2026-09-10,,Checkpoint before the blind-first assessment reorder.,historical_reconstructed,repository evidence; approval metadata not present
WB-026,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-10,,"Add MAS requirement text and elements, constructed corpus with derived labels, baselines and overlay wiring.",historical_reconstructed,repository evidence; approval metadata not present
WB-027,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-10,,Add governance cross-reference checks and reorganise governance documentation.,historical_reconstructed,repository evidence; approval metadata not present
WB-028,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-07,,Implement evidence-floor semantics using examined population counts and inconclusive gates.,historical_reconstructed,repository evidence; approval metadata not present
WB-029,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-11,,Make the evaluation corpus a controlled governance artefact with EVL controls and corpus adapters.,historical_reconstructed,repository evidence; approval metadata not present
WB-030,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-11,,Add the Halocline domain-classification specification and control/adapters.,historical_reconstructed,repository evidence; approval metadata not present
WB-031,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-12,,"Element-level comparison of the reviewer blind read against the assessor proposal, and a disagreement-scoped second challenge pass.",historical_reconstructed,repository evidence; approval metadata not present
WB-032,readiness-assessor,v0.3.0,medium,NOT_RECORDED,FALSE,2026-09-12,,Make the BM25 fallback unconditionally importable so its test exercises the fallback rather than rank-bm25.,historical_reconstructed,repository evidence; approval metadata not present
WB-033,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-12,,Split element verdicts into their own model call to raise the verdict return rate on small local models.,historical_reconstructed,repository evidence; approval metadata not present
WB-034,readiness-assessor,v0.3.0,medium,NOT_RECORDED,FALSE,2026-09-12,,"Retain the rejected excerpt when a met element verdict fails the verbatim check, so the cause is diagnosable.",historical_reconstructed,repository evidence; approval metadata not present
WB-035,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-12,,"Order the element schema so the excerpt is generated before the status, so a met verdict follows from a copied passage rather than preceding it.",historical_reconstructed,repository evidence; approval metadata not present
WB-036,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-12,,Gate the probe and score.py on corpus requirement binding so a stale corpus reports NOT_TESTABLE instead of an accuracy figure.,historical_reconstructed,repository evidence; approval metadata not present
WB-037,readiness-assessor,v0.3.0,low,NOT_RECORDED,FALSE,2026-09-12,,"Restructure the Evidence workspace around the starting choice, with the three steps always visible and retrieval tuning moved out of the primary path.",historical_reconstructed,repository evidence; approval metadata not present
WB-038,readiness-assessor,v0.3.0,low,NOT_RECORDED,FALSE,2026-09-12,,"Add in-app folder browsing, a native OS folder dialog where the runtime is local, and a recent-folders list for the evidence path.",historical_reconstructed,repository evidence; approval metadata not present
WB-040,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-12,,"Append-only, hash-chained event store with a trace id per assessment cycle, replacing the whole-file rewrite of data/assessments.json.",historical_reconstructed,repository evidence; approval metadata not present
WB-041,readiness-assessor,v0.3.0,medium,NOT_RECORDED,FALSE,2026-09-12,,"Single LLM client: per-role model selection and per-call latency and failure metrics, replacing three separate transports.",historical_reconstructed,repository evidence; approval metadata not present
WB-042,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-12,,Extract the assessment cycle from app.py into a core library callable without Streamlit.,historical_reconstructed,repository evidence; approval metadata not present
WB-043,readiness-assessor,v0.3.0,medium,NOT_RECORDED,FALSE,2026-09-12,,"Headless CLI driving a full cycle from evidence to decision, with the reason check applied on the headless path.",historical_reconstructed,repository evidence; approval metadata not present
WB-044,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-12,,Replay harness: re-run stored cycles against a different model or prompt and score against the reviewer decision.,historical_reconstructed,repository evidence; approval metadata not present
WB-045,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-12,,"Order the challenger schemas so the verifiable pointers precede the conclusion, matching the fix that recovered element verdicts in WB-035.",historical_reconstructed,repository evidence; approval metadata not present
WB-046,readiness-assessor,v0.3.0,medium,NOT_RECORDED,FALSE,2026-09-12,,"Generate the assurance workpaper from the append-only event record, stating coverage and chain integrity before findings.",historical_reconstructed,repository evidence; approval metadata not present
WB-047,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-12,,"Knowledge resolver: route control context to local governed knowledge and, where the task is time-sensitive, to advisory external knowledge.",historical_reconstructed,repository evidence; approval metadata not present
WB-052,readiness-assessor,v0.3.0,medium,NOT_RECORDED,FALSE,2026-09-12,,Web knowledge adapter and advisory framing for external sources used by the resolver.,historical_reconstructed,repository evidence; approval metadata not present
WB-053,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-12,,"AI assessment hotfix: saving the reviewer reading triggers the independent assessment, with the proposal withheld until the reading is recorded.",historical_reconstructed,repository evidence; approval metadata not present
WB-056,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-12,,"Make knowledge retrieval failures loud: distinguish a search that found nothing from one that could not run, and surface the degradation onto the proposal.",historical_reconstructed,repository evidence; approval metadata not present
WB-050,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-14,,"The run as a first-class object: compiled catalog, evidence digest and outcome state, recorded without calling a model.",historical_reconstructed,repository evidence; approval metadata not present
WB-051,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-14,,"Drift between runs, separating a moved estate from a moved yardstick and reporting only what changed.",historical_reconstructed,repository evidence; approval metadata not present
WB-057,readiness-assessor,v0.3.0,medium,NOT_RECORDED,FALSE,2026-09-14,,"Work queue ranking which controls are worth reviewer attention, so a population of assessed cycles accrues by priority rather than by sweep.",historical_reconstructed,repository evidence; approval metadata not present
WB-058,readiness-assessor,v0.3.0,medium,NOT_RECORDED,FALSE,2026-09-14,,Stop list comprehensions over st.markdown rendering DeltaGenerator objects into the assessment view.,historical_reconstructed,repository evidence; approval metadata not present
WB-059,readiness-assessor,v0.3.0,low,NOT_RECORDED,FALSE,2026-09-14,,Name the governing requirement source in challenge pointer errors instead of hardcoding mas.yaml.,historical_reconstructed,repository evidence; approval metadata not present
WB-060,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-14,,"Reject challenges individually with a visible rejected count, instead of discarding an entire challenge run on one malformed entry.",historical_reconstructed,repository evidence; approval metadata not present
WB-061,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-14,,Contract export collapsed multi-element requirement decompositions to a single element for the 165 non-MAS controls.,historical_reconstructed,repository evidence; approval metadata not present
WB-062,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-14,,"Carry requirement authority and test provenance through requirement_context to the prompt, the proposal and the review screen, so a draft element is visibly a draft.",historical_reconstructed,repository evidence; approval metadata not present
WB-063,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-14,,"Draft requirement elements from the source instrument text with a verbatim anchor per element, replacing decomposition derived from the control title.",historical_reconstructed,repository evidence; approval metadata not present
WB-064,readiness-assessor,v0.3.0,medium,NOT_RECORDED,FALSE,2026-09-14,,Two copies of control_contract.py exist under governance/ and governance/knowledge/ and have drifted.,historical_reconstructed,repository evidence; approval metadata not present
WB-065,readiness-assessor,v0.3.0,low,NOT_RECORDED,FALSE,2026-09-14,,"Convert source instrument PDFs to text with a manifest recording source hash, page count and what authority each document carries.",historical_reconstructed,repository evidence; approval metadata not present
WB-066,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-14,,"Retrieve the instrument passages bearing on a control before drafting elements, instead of passing the whole document to one call.",historical_reconstructed,repository evidence; approval metadata not present
WB-067,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-14,,Detect and drop element drafts that echo the schema or the worked example instead of reading the instrument.,historical_reconstructed,repository evidence; approval metadata not present
WB-068,readiness-assessor,v0.3.0,medium,NOT_RECORDED,FALSE,2026-09-14,,"Locate the instrument sentence behind a paraphrased element by token overlap, flagged and never promoted to known confidence on that basis.",historical_reconstructed,repository evidence; approval metadata not present
WB-069,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-14,,Snap retrieved instrument passages to sentence boundaries so a model can quote them verbatim instead of reconstructing them.,historical_reconstructed,repository evidence; approval metadata not present
WB-070,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-14,,"Draft elements by selecting numbered instrument sentences rather than asking the model to transcribe them, making the anchor verbatim by construction.",historical_reconstructed,repository evidence; approval metadata not present
WB-071,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-14,,"State the obligation one sentence per call so an element cannot detach from its anchor, and report selector over-selection instead of obeying it.",historical_reconstructed,repository evidence; approval metadata not present
WB-096,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-14,,"Route element drafting through the inference orchestrator with task signals and escalation, so a weak first pass is retried under a stronger plan rather than accepted.",historical_reconstructed,repository evidence; approval metadata not present
WB-097,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-14,,"Add a knowledge runtime monitor recording what each role actually retrieved, so retrieval can be audited after the fact.",historical_reconstructed,repository evidence; approval metadata not present
WB-098,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-14,,"Add a challenge RAG diagnostic separating what the challenger was given from what it used.",historical_reconstructed,repository evidence; approval metadata not present
WB-099,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-14,,"Give elements their own registry, contract and graph so an element is addressable independently of the control that carries it.",historical_reconstructed,repository evidence; approval metadata not present
WB-100,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-14,,"Add the versioned source registry, temporal lifecycle and triangulation findings so a canonical element set cannot rest on consultation material.",historical_reconstructed,repository evidence; approval metadata not present
WB-101,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-14,,"Split retrieval into typed semantic, episodic, procedural and regulatory lanes, each with a persisted receipt.",historical_reconstructed,repository evidence; approval metadata not present
WB-102,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-14,,"Stop four checks that did not run from looking like checks that ran and found nothing: blocked challenge runs now block a full rating, the episodic receipt can report an unreadable ledger, mutual not_applicable no longer counts as agreement, and the triangulation gate refuses an undispositioned element set. Also corrects the inverted element subject guard.",historical_reconstructed,repository evidence; approval metadata not present
WB-103,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-14,,"Add a deterministic completeness pass that reports which declared artefacts have no candidate document, plus an explicit re-bind so a topped-up bundle is marked and the assessed object is the one every later step saw.",historical_reconstructed,repository evidence; approval metadata not present
WB-104,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-14,,"Derive element identity from the obligation text rather than its position, so a label can be carried across a contract revision or honestly declared orphaned.",historical_reconstructed,repository evidence; approval metadata not present
WB-105,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-14,,"Wire the completeness pass into the Streamlit review workspace as a step between evidence and the blind read, and make the bundle-hash guard public so it reaches the UI path that writes proposals directly.",historical_reconstructed,repository evidence; approval metadata not present
WB-106,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-14,,"Derive both review step indicators from one definition after three hand-maintained copies drifted apart, and show a ready-but-gated proposal as held rather than ticking it ahead of the reading that gates it.",historical_reconstructed,repository evidence; approval metadata not present
WB-107,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-14,,"Fix the KeyError that crashed the report on every workspace decision, and stop a challenge pass that was blocked or never ran from showing as a completed step and as no_challenges in the dossier.",historical_reconstructed,repository evidence; approval metadata not present
WB-108,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-14,,"Stop the review queue row ticking the assessor as complete while the blind read is still open, and key the row summary to the step list so steps cannot silently drop out of it.",historical_reconstructed,repository evidence; approval metadata not present
GE-109,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-14,,"Close the event/control-plane boundary: register gap_scanned in events.KINDS (cycle.gap_scan had raised on every call since it shipped), add record_proposal/record_compare/record_challenge/record_note/challenge_read so the UI has a governed route for every write, remove all eight direct events.append calls from app.py, strip ledger-owned keys from the assessments.json cache on load, and add tests asserting the UI has no governance-write path outside core.cycle.",historical_reconstructed,repository evidence; approval metadata not present
GE-110,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-14,,"Guard the gaps channel: flag gaps that restate a ToD/ToE step or the element text rather than naming what the evidence does not show, cap maturity at 1 when every gap is a restatement, and drop suggested actions that repeat a gap verbatim.",historical_reconstructed,repository evidence; approval metadata not present
GE-110,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-14,,"Contract integrity validator as a hard gate: duplicate element ids, cross-control element contamination, requirement sentences in the artefact column, known tool output as an authoritative source, placeholder-only evidence, and elements that are verbatim test steps. Errors return CONTRACT_INVALID and assert_executable raises rather than returning a status callers can ignore. Also adds assessor gap-quality guards so test procedures and requirement restatements cannot be presented as findings.",historical_reconstructed,repository evidence; approval metadata not present
GE-110c,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-14,,"Close the GE-110 gate at runtime: cycle.assess and cycle.record_proposal both call assert_contract_executable, cycle.contract_status is the UI service seam, app.py renders CONTRACT INVALID instead of the review workspace and flags blocked controls in the queue, and the engine test suite no longer requires Streamlit to be installed.",historical_reconstructed,repository evidence; approval metadata not present
GE-110b.1,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-14,,"Corpus adequacy characterisation, reusable across controls: outcome coverage, element balance, degenerate baseline, never-evidenced and never-applicable elements, pairwise case distance, and whether label justification is per-case or per-element. Reports only; adequacy never blocks. Records that M3.6 is currently inadequate — no full case, closest pair differs on one element of seven, and an assessor answering not-evidenced every time scores 62 percent.",historical_reconstructed,repository evidence; approval metadata not present
GE-110b.2,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-14,,"Per-case label provenance: the judgement (case x element) becomes the unit of record with its own justification, source refs, labeller and date. Migration copies verdicts but marks carried-over justifications inherited_from_element rather than upgrading them, so corpus_adequacy keeps flagging the gap until a person re-argues it. Adds the discrimination matrix to corpus adequacy. Migrated M3.6 (42 judgements) and M3.12 (18), all currently inherited.",historical_reconstructed,repository evidence; approval metadata not present
GE-110c.1,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-14,,"Stop a governed contract refusal from crashing the app: ContractInvalid reaching the top of the Streamlit script killed a whole bulk assess run at M1.1. The cycle and bound evidence are kept, only the proposal is withheld, the bulk run skips invalid contracts before calling the model, and skipped controls are reported.",historical_reconstructed,repository evidence; approval metadata not present
GE-110b.1a,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-15,,"Pin the invariant that inherited_from_element provenance cannot become calibration data. Adds adjudicated_case_specific as the only admissible provenance, requiring a case-specific justification, at least one source reference, a named human who is not claude-unconfirmed, and a date; assert_calibration_data raises rather than returning a status. Adds a discrimination target derived from the measured corpus that states coverage gaps and never target verdicts.",historical_reconstructed,repository evidence; approval metadata not present
GE-110b.2a,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-15,,"Classify M3.6 elements by observability - ordinary, conditional with a named precondition, or out_of_band - and teach corpus adequacy to split undiscriminating elements by cause. Only ordinary gaps are targets for new cases; a conditional element whose precondition never held is not a corpus defect, and e14 re-validation triggers is reported as a capability gap needing a source other than the evidence bundle. e5 and e8 carry different preconditions because the contract distinguishes use-case relevance from risk materiality.",historical_reconstructed,repository evidence; approval metadata not present
GE-110b.2b,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-15,,"Measurement topology for the calibration corpus: four element statuses (DISCRIMINATING, INSUFFICIENT_VARIATION, CONDITIONAL_NOT_TRIGGERED, UNOBSERVABLE_IN_BUNDLE), per-element requirements stated as opportunities rather than target verdicts, several trivial baselines reported separately instead of one degenerate figure, and a within-case uniformity check that detects a corpus scorable by recognising the document rather than reading the evidence.",historical_reconstructed,repository evidence; approval metadata not present
GE-110b.1b,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-15,,"Name the joint-discrimination failure CASE_SIGNATURE_SHORTCUT and record each case structural answer-vector signature in the characterisation output, with collision detection for cases that observe the same thing. Baselines stay descriptive with no thresholds. Closes GE-110b.1 characterisation work.",historical_reconstructed,repository evidence; approval metadata not present
GE-110b.2c,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-15,,"Ingest the 52 adjudicated M3.6 judgements for cases d/e/f/g. Replace the inferred named-person check with a declared adjudicator_kind of human or ai, since a model name is indistinguishable from a person name and GPT-5.6 Luna passed the old check. Grade the corpus ai_adjudicated_candidate rather than human ground truth. Scope the calibration gate by calibration_cases so superseded a/b/c rows stay in the file. Record e14 as a capability finding with no verdict rather than null.",historical_reconstructed,repository evidence; approval metadata not present
GE-110b.3,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-15,,"Deterministic ownership for the measurement layer after a third unrecorded mutation of eval/ left label_provenance.py internally inconsistent. Adds a hash manifest with one designated writer per source file, a source class whose drift fails the test suite and a data class recorded for provenance only, an adopt step requiring a named owner that records what it supersedes, and a test that would have caught the mutation at the moment it happened.",historical_reconstructed,repository evidence; approval metadata not present
GE-110b.2d,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-15,,"Freeze one definition of discrimination: Y and N both present among applicable observations. n/a may change applicability classification but never by itself creates measurement discrimination. Splits the previously conflated measure into applicability_variation and discriminating, which had reported 9 against topology's 7 on identical data. Adds nearest case pair and headline outcome diversity as descriptive statistics with no rule attached.",historical_reconstructed,repository evidence; approval metadata not present
GE-110b.4,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-15,,"Canonical measurement run: contract, corpus, label-set and evaluator hashes on every result; element-level accuracy over Y/N judgements with n/a excluded; naive baselines computed on the same scored population; per-element accuracy; reproducibility comparison that reports not_comparable on differing lineage and non_deterministic_evaluator on identical lineage; and limitations derived from characterisation that name the claim each one blocks. The aggregate full/partial/none metric is absent with a stated reason rather than null, because the corpus has one distinct case-level outcome.",historical_reconstructed,repository evidence; approval metadata not present
GE-110b.5,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-15,,"Evaluator adapters on one signature so naive baselines and the production assessor share a path; a deterministic lexical evaluator to exercise it without a model; run persistence named from lineage. Fixes an escape hatch where the scored population was defined by agreement between gold and prediction, letting an evaluator shrink its own denominator by answering not-applicable - always-n/a scored 0 of 0 with accuracy None. The denominator is now the gold population; declining and no-answer are reported separately from being wrong. Adds a Measurement tab that projects the stored run and recomputes nothing.",historical_reconstructed,repository evidence; approval metadata not present
GE-110b,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-15,,"Measurement authority closed. Measurement-run model with lineage, gold-defined scored population, decline and raise accounting, reproducibility, travelling limitations, baseline population consistency, a lexical evaluator exercising the whole path, and an app projection that recomputes nothing. The live model evaluator is written and wired but not yet exercised against an actual endpoint - deployment verification, not design.",historical_reconstructed,repository evidence; approval metadata not present
GE-111,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-15,,"Canonical Observation, CAA vertical slice. An Observation records what was observed and never what it means; assert_is_fact refuses a payload asserting a conclusion at the top level and routes genuine source outputs through a declared envelope so the record says who claimed it. AdapterResult becomes one Observation per record plus one for the run, so an adapter that errored stays distinguishable from one that found nothing. EvidencePacket becomes a projection naming the observations and content hashes it was rendered from, and declaring itself non-authoritative. The existing CAA consumer is unchanged; Lane A and the plugin surface are deliberately not migrated.",historical_reconstructed,repository evidence; approval metadata not present
WB-109,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-15,,Reassessment workflow and governed replacement result,historical_reconstructed,repository evidence; approval metadata not present
WB-110,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-15,,Live reassessment integration and state transitions,historical_reconstructed,repository evidence; approval metadata not present
WB-111,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-15,,Observation model and evidence packet boundary,historical_reconstructed,repository evidence; approval metadata not present
WB-112,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-16,,Governance workflow hardening,historical_reconstructed,repository evidence; approval metadata not present
WB-113,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-16,,Governance workflow hardening,historical_reconstructed,repository evidence; approval metadata not present
WB-115,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-16,,AI auditor governed skills,historical_reconstructed,repository evidence; approval metadata not present
WB-116,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-16,,Final quality gate,historical_reconstructed,repository evidence; approval metadata not present
WB-117,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-16,,Governance workflow hardening,historical_reconstructed,repository evidence; approval metadata not present
WB-118,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-16,,Governance workflow hardening,historical_reconstructed,repository evidence; approval metadata not present
WB-119,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-16,,Governance workflow hardening,historical_reconstructed,repository evidence; approval metadata not present
WB-120,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-17,,Evidence Scout and refresh preflight,historical_reconstructed,repository evidence; approval metadata not present
WB-121,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-17,,Governed evidence admission,historical_reconstructed,repository evidence; approval metadata not present
WB-122,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-17,,Governance workflow hardening,historical_reconstructed,repository evidence; approval metadata not present
WB-123,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-17,,Audit package integrity,historical_reconstructed,repository evidence; approval metadata not present
WB-124,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-17,,Governance workflow hardening,historical_reconstructed,repository evidence; approval metadata not present
WB-125,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-17,,Governance workflow hardening,historical_reconstructed,repository evidence; approval metadata not present
WB-126,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-17,,Governance workflow hardening,historical_reconstructed,repository evidence; approval metadata not present
WB-127,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-17,,Governance workflow hardening,historical_reconstructed,repository evidence; approval metadata not present
WB-129,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-18,,Watcher runtime and source health,historical_reconstructed,repository evidence; approval metadata not present
WB-130,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-18,,Watcher source governance,historical_reconstructed,repository evidence; approval metadata not present
WB-131,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-18,,Watcher governed git flow,historical_reconstructed,repository evidence; approval metadata not present
WB-132,readiness-assessor,v0.3.0,high,NOT_RECORDED,FALSE,2026-09-18,,Watcher publication workflow,historical_reconstructed,repository evidence; approval metadata not present
